FLAGSTAFF HOUSE,"casual, locally sourced cuisine with space & hors d'oeuvre",Grill, below average - $,4.2,https://media-cdn.tripadvisor.com/media/photo-s/13/a9/2a/55/photo5jpg.jpg,"40.004493,-105.254894"
SALT,"asian, locally sourced craft beer with cuisine & kitchen",American,above average - $$$,2.1,https://media-cdn.tripadvisor.com/media/photo-s/12/de/ed/b4/photo0jpg.jpg,"40.011607,-105.238362"
VIA PEARLA,"family-run craft beer, a seasonal menu of parisian cuisine, affordable desserts & food",American, below average - $,4.0,https://media-cdn.tripadvisor.com/media/photo-l/17/c5/6c/21/photo0jpg.jpg,"40.01948,-105.239444"
ROCKY FIN POKE BAR,"simple ciders, a seasonal menu of posh ingredients, elegant craft beer & craft beer",Bakery, below average - $,3.5,https://media-cdn.tripadvisor.com/media/photo-s/11/f4/65/8b/best-poke-in-town.jpg,"40.022358,-105.231885"
SANITA BREWING COMPANY,"spanish, locally sourced dishes with space & courses",Bakery,average - $$,3.8,https://media-cdn.tripadvisor.com/media/photo-f/17/6c/8d/45/flight-of-four.jpg,"40.006274,-105.269077"
ALOY MODERN THAI,"formal, locally sourced cocktails with craft beer & space",Brunch,average - $$,2.4,https://media-cdn.tripadvisor.com/media/photo-f/13/a8/69/47/drunken-noodles-level.jpg,"40.036855,-105.288647"
LINGER,"vietnamese ingredients, a seasonal menu of simple cocktails, trendy space & cocktails",Seafood,average - $$,4.5,https://media-cdn.tripadvisor.com/media/photo-l/17/f0/b5/08/photo2jpg.jpg,"40.009167,-105.273941"
FRUITION RESTAURANT,"mexican desserts, a seasonal menu of asian space, superb space & craft beer",Grill, below average - $,3.1,https://media-cdn.tripadvisor.com/media/photo-s/01/b9/1a/a6/grilled-steak.jpg,"40.027041,-105.245666"
DIO MIO,"famous desserts, a seasonal menu of outdoor dishes, high quality dishes & dishes",Seafood, below average - $,4.1,https://media-cdn.tripadvisor.com/media/photo-s/0e/43/f5/fb/photo1jpg.jpg,"40.019809,-105.262094"
PINTS PUB - BRITISH GASTRO BREWPUB,"stylish, locally sourced craft beer with kitchen & food",Vegan,average - $$,4.9,https://media-cdn.tripadvisor.com/media/photo-s/15/97/62/5b/photo2jpg.jpg,"40.016449,-105.227371"
