0,BRASSERIE TEN TEN,"superb, locally sourced ingredients with cocktails & dishes",Grill,cheap,4.2,https://media-cdn.tripadvisor.com/media/photo-s/09/0e/a0/f4/brasserie-ten-ten.jpg,"40.030169,-105.264185"
1,THE MED,"celebrated, locally sourced fine wines with cocktails & dishes",American,cheap,3.7,https://media-cdn.tripadvisor.com/media/photo-l/15/01/7f/48/beet-salad-with-interesting.jpg,"40.017904,-105.227578"
2,BOULDER BEER COMPANY,"famous craft beer, a seasonal menu of ethnic ciders, french cuisine & space",Thai,cheap,2.4,https://media-cdn.tripadvisor.com/media/photo-f/17/66/15/24/view-from-parking-lot.jpg,"40.017706,-105.288676"
3,ARCANA,"celebrated, locally sourced kitchen with kitchen & desserts",Brunch,expensive,4.0,https://media-cdn.tripadvisor.com/media/photo-f/0f/a2/05/2d/brunch-arcana.jpg,"40.006529,-105.236013"
4,TOKYO PREMIUM BAKERY,"traditional, with changing menu using local ingredients in dishes & cuisine",Bakery,average,3.7,https://media-cdn.tripadvisor.com/media/photo-s/15/bc/97/e5/20181215-141722-largejpg.jpg,"40.030527,-105.27597"
5,OAK,"simple, locally sourced space with ciders & fine wines",Brunch,cheap,4.1,https://media-cdn.tripadvisor.com/media/photo-l/14/05/20/6c/to-die-for.jpg,"40.043204,-105.274998"
6,SANITA BREWING COMPANY,"class hors d'oeuvre, a seasonal menu of american courses, fabulous dishes & craft beer",Coffee House,average,4.6,https://media-cdn.tripadvisor.com/media/photo-f/17/6c/8d/45/flight-of-four.jpg,"40.042443,-105.288813"
7,THIRSTY LION GASTROPUB - UNION STATION,"mexican, locally sourced hors d'oeuvre with space & hors d'oeuvre",Vegan,average,4.2,https://media-cdn.tripadvisor.com/media/photo-s/09/c7/25/98/nw-pub-burger.jpg,"40.043275,-105.239565"
8,THE POPULIST,"popular dishes, a seasonal menu of wonderful courses, superb hors d'oeuvre & dishes",Vegan,average,3.7,https://media-cdn.tripadvisor.com/media/photo-w/0f/19/7c/80/photo0jpg.jpg,"40.019715,-105.250076"
9,JAX FISHOUSE & OYSTER BAR - BOULDER,"smart ingredients, a seasonal menu of american space, great ingredients & cuisine",American,cheap,3.5,https://zagat-photos.imgix.net/ChIJH68pxyfsa4cRmlqp7By1XYE/36521024c481478c8a24cb24a5d45f3a.jpg?max-w=1400&auto=format,"40.023542,-105.277184"
10,RVER & WOODS,"trendy courses, a seasonal menu of casual entrees, elegant courses & food",Seafood,cheap,4.8,https://media-cdn.tripadvisor.com/media/photo-f/17/ac/a1/1b/photo1jpg.jpg,"40.002432,-105.263118"
11,ACORN,"mexican, locally sourced food with ciders & kitchen",Coffee House,expensive,3.6,https://media-cdn.tripadvisor.com/media/photo-s/05/96/21/44/acorn.jpg,"40.010656,-105.248965"
12,SNOOZE AN A.M. EATERY,"excellent, with changing menu using local ingredients in courses & space",Brunch,average,3.5,https://media-cdn.tripadvisor.com/media/photo-f/18/28/18/43/photo0jpg.jpg,"40.019705,-105.28518"
13,CHINA GOURMET,"traditional food, a seasonal menu of independent fine wines, french ciders & dishes",American,cheap,4.6,https://s3-media2.fl.yelpcdn.com/bphoto/xWeTMKkjf90N_MJh-BxpuA/l.jpg,"40.041432,-105.279939"
14,ACREAGE,"trendy, locally sourced hors d'oeuvre with courses & cocktails",Vegan,average,2.2,https://media-cdn.tripadvisor.com/media/photo-s/18/33/10/9d/photo1jpg.jpg,"40.046316,-105.238328"
